EDV-Nr./Bezeichnung;Beschreibung;Preiseinheit;Preis
Titel;Flächen-Warmwasser-Fußbodenheizung;;
Untertitel;als Frässystem liefern und montieren;;
;- Frässystem mit 10/15 cm VA, Heizfläche Standardgröße mit Alu-Verbundrohr 16x2 mm;;
H54NO0100 01;;€/m²;49,8
;;;
Untertitel;Baustelleneinrichtung (Frässystem);;
H54NO6000 01;;pro Einsatz;292,5
;;;
Untertitel;Mehrpreis Etagenzuschuss (Frässystem);;
;gilt nicht fürs Erdgeschoss;;
H54NO6005 01;;pauschal;111,2
;;;
Untertitel;Entsorgungspauschale (Frässystem);;
H54NO6010 01;;pauschal;345,2
;;;
Untertitel;Versiegelungspauschale (Frässystem);;
;Unterboden mit einem Dispersionsvorstrich grundieren, sowie Fräskanäle mit standfester Spachtelmasse vollständig schließ;;
H54NO6015 01;;€/m²;16
;;;
Zwischentitel;Bitte beachten Sie auch, dass auf dem versiegelten Boden eine Ausgleichsmasse für einen neuen Bodenbelag aufgebracht werden muss. Gerne macht Ihnen unser Dienstleister hierfür und auch für den Bodenbelag ein entsprechendes Angebot. Alles aus einer Hand!;;
